// Note : Å°(ID)¿Í ³»¿ëÀº ¹Ýµå½Ã ÅÇÀ¸·Î ±¸ºÐµÇ¾î¾ß ÇÕ´Ï´Ù.
//
IN_000_000	Swords [Dex]
IN_001_023	Police Emblem
ID_001_023	Strengthens a character for seven days
IN_001_024	Police Emblem Gift Box
ID_001_024	Right-Click over the item to use
IN_001_025	Temp
ID_001_025	
IN_001_026	Temp
ID_001_026	
IN_001_027	Chicken-Fried Rice Meal
ID_001_027	
IN_001_028	Hi-Life Onion Chicken
ID_001_028	Restores 70% HP
IN_001_029	BBQ Rice
ID_001_029	
IN_001_030	HiLife according to burns leg platoon
ID_001_030	Restores 70% MP
IN_001_031	Oyster Rice
ID_001_031	
IN_001_032	HiLife oyster oil forks fever
ID_001_032	Restores 70% SP
IN_001_033	Blank
ID_001_033	
IN_001_034	Blank [M]
ID_001_034	
IN_001_035	Blank [M]
ID_001_035	
IN_001_036	Blank [M]
ID_001_036	
IN_001_037	Blank [M]
ID_001_037	
IN_001_038	Blank [F]
ID_001_038	
IN_001_039	Blank [F]
ID_001_039	
IN_001_040	Blank [F]
ID_001_040	
IN_001_041	Blank [F]
ID_001_041	
IN_001_042	Blank [F]
ID_001_042	
IN_001_043	Surfing [M]
ID_001_043	
IN_001_044	Surfing [M]
ID_001_044	
IN_001_045	Surfing [M]
ID_001_045	
IN_001_046	Surfing [M]
ID_001_046	
IN_001_047	Surfing [M]
ID_001_047	
IN_001_048	Devil Wing [F]
ID_001_048	
IN_001_049	Devil Wing [F]
ID_001_049	
IN_001_050	Devil Wing [F]
ID_001_050	
IN_001_051	Devil Wing [F]
ID_001_051	
IN_001_052	Devil Wing [F]
ID_001_052	
IN_001_053	Devil's Letter
ID_001_053	Letters which are dropped by the magpie. When 100 of these have been collected, you can trade them in for a box of present which contains the Bridegroom Suit.
IN_001_054	Angel's Letter
ID_001_054	Letters which are dropped by the magpie. When 100 of these have been collected, you can trade them in for a box of present which contains the Bridal Gown.
IN_001_055	Seventh Evening Chocolates
ID_001_055	Restores 60% of the character's HP+MP+SP
IN_001_056	Bridegroom Suit Gift Box [M] [3D]
ID_001_056	The moment in life when a guy is the most handsome, his stunning appearance will definitely cause the bride to swoon with delight.
IN_001_057	Bridal Gown Gift Box [F] [3D]
ID_001_057	The moment in life when a lady is the most beautiful, the heavenly look will make the bridegroom swoon with delight!
IN_001_058	Magpie Food
ID_001_058	
IN_001_059	Ninja Eyeshades
ID_001_059	
IN_001_060	Light Mechanical Sword
ID_001_060	
IN_001_061	Light Frosted Sabre Sword
ID_001_061	
IN_001_062	Light Seven Stars Glove
ID_001_062	
IN_001_063	Light Aluminium Glove
ID_001_063	
IN_001_064	Light Protection Long Bow
ID_001_064	
IN_001_065	Light Heavenly Hammer Long Bow
ID_001_065	
IN_001_066	Headgear Gift Box
ID_001_066	Limited to 3 days, if the box is not opened in 3 days, the present will automatically dissapear.
IN_001_067	Super Baseball Cap [Red]
ID_001_067	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_068	Super Baseball Cap [Blue]
ID_001_068	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_069	Super Baseball Cap [Yellow]
ID_001_069	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_070	Super Cowboy Hat [Red]
ID_001_070	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_071	Super Cowboy Hat [Coffee]
ID_001_071	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_072	Super Cowboy Hat [White]
ID_001_072	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_073	Super Headscarf [Flower]
ID_001_073	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_074	Super Headscarf [Coffee]
ID_001_074	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_075	Super Headscarf [Multicoloured]
ID_001_075	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_076	Super Airplane Head [Purple]
ID_001_076	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_077	Super Airplane Head [Yellow]
ID_001_077	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_078	Super Airplane Head [Red]
ID_001_078	Limited to 7 days, when worn, HP Restoration +0.30%, MP Restoration +0.30%, SP Restoration +0.30%.
IN_001_079	Spicy Chicken Springroll
ID_001_079	Each springroll restores 650 HP.
IN_001_080	Lobster Meatball
ID_001_080	Each meatball restores 300 MP.
IN_001_081	Fried Flowery Pellet
ID_001_081	Each pellet restores 300 SP.
IN_001_082	7-11 Cooked Spicy Chicken Springroll
ID_001_082	
IN_001_083	Plum Blossom
ID_001_083	Each of them have a limit of 7 days, when 50 of these are collected, you are able to trade them in for a Super-class Headgear with the College Snitch
IN_001_084	7-11 Cooked Lobster Meatball
ID_001_084	
IN_001_085	7-11 Fried Flowery Pellet
ID_001_085	
IN_001_086	Event Item
ID_001_086	This item has no special function. Collect 30 of these items and you can redeem special items during events
IN_001_087	Peace Abounds Necklace
ID_001_087	When the necklace is worn, the following effect will take place : Defence+6, Accuracy+8. However because this item has been worn old with age, it will gradually dissapear. It will expire within 7 days of use.
IN_001_088	Peace Abounds Necklace Gift Box
ID_001_088	The gift box will expire within 3 days. If it has not been opened within 3 days, the gift box, including the gift inside it, will dissapear into thin air.
IN_001_089	New Student Previous Point Teleport Card [7D]
ID_001_089	This item is not transferrable; It can teleport the user to where the user previously went with a Campus Return Card. Right-click on the item to use, it can be used without countless number of times within 7 days of first-use.
IN_001_090	New Student Save Point Teleport Card [7D]
ID_001_090	This item is not transferrable; It can teleport the user to his
IN_001_091	New Student Rosary Beads
ID_001_091	This item is not transferrable; Because it is only used for newly registered students, it will automatically dissapear after 30 days.
IN_001_092	New Student Starter Kit
ID_001_092	This item is not transferrable; Please right-click on it to begin using this item. 
IN_001_120	Purplish Dragon Swrd(15D)
ID_001_120	
IN_001_121	Purplish Lite Dragon Swrd(15D)
ID_001_121	
IN_001_122	Purplish Slayer Dag.(15D)
ID_001_122	
IN_001_123	Purplish Ugrd. Iron Bow(15D)
ID_001_123	
IN_001_124	Purplish Spar Aly Bow(15D)
ID_001_124	
IN_001_125	Purplish Spar Lite Aly Bow(15D)
ID_001_125	
IN_001_126	Purplish Spirits Spear(15D)
ID_001_126	
IN_001_127	Purplish Dragon Wand(15D)
ID_001_127	
IN_001_128	Purplish Tough Glv(15D)
ID_001_128	
IN_001_129	Purplish Lite Tough Glv(15D)
ID_001_129	
IN_001_130	Purplish Hvy. Tough Glv(15D)
ID_001_130	
IN_001_131	Purplish Dragon Swrd Box(15D)
ID_001_131	
IN_001_132	Purplish Lite Dragon Swrd Box(15D)
ID_001_132	
IN_001_133	Purplish Slayer Dag.Box(15D)
ID_001_133	
IN_001_134	Purplish Ugrd. Iron Bow Box(15D)
ID_001_134	
IN_001_135	Purplish Spar Aly Bow Box(15D)
ID_001_135	
IN_001_136	Purplish Spar Lite Aly Bow Box(15D)
ID_001_136	
IN_001_137	Purplish Spirits Spear Box(15D)
ID_001_137	
IN_001_138	Purplish Dragon Wand Box(15D)
ID_001_138	
IN_001_139	Purplish Tough Glv Box(15D)
ID_001_139	
IN_001_140	Purplish Lite Tough Glv Box(15D)
ID_001_140	
IN_001_141	Purplish Hvy. Tough Glv Box(15D)
ID_001_141	
IN_001_142	Snake gallbladder [15D]
ID_001_142	
IN_001_143	Exorcist Ring [15D]
ID_001_143	
IN_001_151	Astral Fragment[15D]
ID_001_151	
IN_001_152	Astral Gravel[15D]
ID_001_152	
IN_001_153	Beverage Bottle[30D]
ID_001_153	
IN_001_154	Pearled[30D]
ID_001_154	
IN_001_175	Pumkin Neckwear[15D]
ID_001_175	
IN_001_176	Halloween Candy[15D]
ID_001_176	
IN_001_177	Halloween Necklace[30D]
ID_001_177	
IN_001_181	X_Mas RandomBox[7D]
ID_001_181	
IN_001_182	XMas Special Hat[M][15D]
ID_001_182	
IN_001_183	XMas Special Hat[F][15D]
ID_001_183	
IN_001_184	Christmas Ticket[15D]
ID_001_184	
IN_001_185	Red Socks[15D]
ID_001_185	
IN_001_186	Blue Socks[15D]
ID_001_186	
IN_001_187	Christmas Themed Gift Box [F] [15D]
ID_001_187	Merry Christmas ~ !
IN_001_188	Christmas Shirt [F] [15D]
ID_001_188	Merry Christmas ~ !
IN_001_189	Christmas Mini-skirt [F] [15D]
ID_001_189	Merry Christmas ~ !
IN_001_190	Christmas Long Boots [F] [15D]
ID_001_190	Merry Christmas ~ !
IN_001_191	Christmas Hat [F] [15D]
ID_001_191	Merry Christmas ~ !
IN_001_192	Christmas Box [M] [15D]
ID_001_192	Right Click to open.
IN_001_193	Christmas Cloth [M] [15D]
ID_001_193	Merry Christmas ~ !
IN_001_194	Christmas Pant [M] [15D]
ID_001_194	Merry Christmas ~ !
IN_001_195	Christmas Shoe [M] [15D]
ID_001_195	Merry Christmas ~ !
IN_001_196	Chritmas Hat [M] [15D]
ID_001_196	Merry Christmas ~ !
IN_002_000	Bead Items
ID_002_000	
IN_002_001	Soul Retriever Ball
ID_002_001	Allows you to respawn at the same location you died. Click on 'Use' when prompted. Useful only when worn.
IN_002_002	Red Firecracker
ID_002_002	Left-Click and Drag the Firecracker on the target player then Right-Click to use the item.
IN_002_003	Yellow Firecracker
ID_002_003	Left-Click and Drag the Firecracker on the target player then Right-Click to use the item.
IN_002_004	Blue Firecracker
ID_002_004	Left-Click and Drag the Firecracker on the target player then Right-Click to use the item.
IN_002_005	Splashing Firecracker
ID_002_005	Left-Click and Drag the Firecracker on the target player then Right-Click to use the item.
IN_002_006	Megaphone
ID_002_006	Broadcast messages to the whole server
IN_002_007	Previous Point Card
ID_002_007	Can move to last location where you returned your student card.
IN_002_008	Emergency Pass Transmission Card
ID_002_008	Right-Click the Item to open the Locker directly
IN_002_009	Locker Rental Card
ID_002_009	
IN_002_010	Beida's Necklace
ID_002_010	
IN_002_011	Beida's Ring
ID_002_011	
IN_002_012	Pakse Necklace
ID_002_012	
IN_002_013	Dakejima Necklace
ID_002_013	
IN_002_014	Yurionsil Necklace
ID_002_014	
IN_002_015	Ring
ID_002_015	
IN_002_016	Battle Helmet A [15D]
ID_002_016	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 15 days.
IN_002_017	Battle Helmet B [15D]
ID_002_017	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 15 days.
IN_002_018	Battle Helmet C [15D]
ID_002_018	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 15 days.
IN_002_019	Battle Helmet D [15D]
ID_002_019	When worn it will make you stronger, attack with more accuracy, the helmet will expire within 15 days.
IN_002_042	Extra Recovery item(HP+MP+SP)
ID_002_042	
IN_003_000	QiJian
ID_003_000	
IN_003_001	Lite Novice Sword
ID_003_001	
IN_003_002	Lite Wood Sword
ID_003_002	
IN_003_003	Lite Japanese Sword
ID_003_003	
IN_003_004	Lite Jasper Sword
ID_003_004	
IN_003_005	Lite Bamboo Sword
ID_003_005	
IN_003_006	Lite Steel Sword
ID_003_006	
IN_003_007	Lite Warrior Sword
ID_003_007	
IN_003_008	Lite Damascus Sword
ID_003_008	
IN_003_009	Lite Sharp Sword
ID_003_009	
IN_003_010	Lite Double Sword
ID_003_010	
IN_003_011	Lite Medium Broad Sword
ID_003_011	
IN_003_012	Lite Arcane Sword
ID_003_012	
IN_003_013	Lite Lava Sword
ID_003_013	
IN_003_014	Lite Dragon Sword
ID_003_014	
IN_003_015	Lite Solar Sword
ID_003_015	
IN_003_016	Light Tian Wu Sword
ID_003_016	
IN_003_017	Light Chu Wang Sword
ID_003_017	
IN_004_000	Bread
ID_004_000	
IN_004_001	Small HP Recovery Potion
ID_004_001	
IN_004_002	Medium HP Recovery Potion
ID_004_002	
IN_004_003	Aspirin
ID_004_003	
IN_004_004	Edible Bread
ID_004_004	
IN_004_005	Leonair Medium HP Recovery Potion
ID_004_005	
IN_004_006	Cherry Ice Cream
ID_004_006	
IN_004_007	Medium Ugraded HP Recovery Potion
ID_004_007	
IN_004_008	Recovery Potion
ID_004_008	
IN_005_000	Small MP Recovery Potion
ID_005_000	
IN_005_001	Medium MP Recovery Potion
ID_005_001	
IN_005_002	Big MP Recovery Potion
ID_005_002	
IN_005_003	Big Leonair MP Recovery Potion
ID_005_003	
IN_005_004	Chocolate Ice Cream
ID_005_004	
IN_005_005	Big Upgraded MP Recovery Potion
ID_005_005	
IN_006_000	Small SP Recovery Potion
ID_006_000	
IN_006_001	Medium SP Recovery Potion
ID_006_001	
IN_006_002	Big SP Recovery Potion
ID_006_002	
IN_006_003	Big Leonair SP Recovery Potion
ID_006_003	
IN_006_004	Almond Ice Cream
ID_006_004	
IN_006_005	Big Upgraded SP Recovery Potion
ID_006_005	
IN_007_000	Temp
ID_007_000	
IN_008_000	Vitality Recovery Potion
ID_008_000	
IN_008_001	Synthesized Recovery Potion
ID_008_001	
IN_008_002	Refine Pill
ID_008_002	Cures Status Abnormality
IN_008_003	Leonair Refine Pill
ID_008_003	
IN_008_004	Hotdog
ID_008_004	
IN_008_005	HP
ID_008_005	
IN_008_006	MP
ID_008_006	
IN_008_007	SP
ID_008_007	
IN_008_008	HP+MP+SP
ID_008_008	
IN_008_009	Damala Potion
ID_008_009	
IN_009_000	Opportunity Item
ID_009_000	
IN_009_001	Destiny Box
ID_009_001	
IN_009_002	Destiny Box
ID_009_002	
IN_009_003	Destiny Box
ID_009_003	
IN_009_004	Destiny Box
ID_009_004	
IN_009_005	Destiny Box
ID_009_005	
IN_009_006	Destiny Box
ID_009_006	
IN_009_007	Destiny Box
ID_009_007	
IN_009_008	Destiny Box
ID_009_008	
IN_009_009	Destiny Box
ID_009_009	
IN_009_010	Destiny Box
ID_009_010	
IN_009_011	Destiny Box
ID_009_011	
IN_009_012	Destiny Box
ID_009_012	
IN_009_013	Destiny Box
ID_009_013	
IN_009_014	Destiny Box
ID_009_014	
IN_009_015	Destiny Box
ID_009_015	
IN_009_016	Destiny Box
ID_009_016	
IN_009_017	Destiny Box
ID_009_017	
IN_009_018	Destiny Box
ID_009_018	
IN_009_019	Destiny Box
ID_009_019	
IN_009_020	Destiny Box
ID_009_020	
IN_009_021	Destiny Box
ID_009_021	
IN_009_022	Destiny Box
ID_009_022	
IN_009_023	Destiny Box
ID_009_023	
IN_009_024	Destiny Box
ID_009_024	
IN_009_025	Destiny Box
ID_009_025	
IN_009_026	Destiny Box
ID_009_026	
IN_009_027	Destiny Box
ID_009_027	
IN_009_028	Destiny Box
ID_009_028	
IN_009_029	Destiny Box
ID_009_029	
IN_009_032	Destiny Box
ID_009_032	
IN_009_033	Destiny Box
ID_009_033	
IN_009_034	Destiny Box
ID_009_034	
IN_009_035	Destiny Box
ID_009_035	
IN_009_042	Destiny Box
ID_009_042	
IN_009_044	Destiny Box
ID_009_044	
IN_009_045	Destiny Box
ID_009_045	
IN_009_046	Destiny Box
ID_009_046	
IN_010_000	Temp
ID_010_000	
IN_011_000	Burr
ID_011_000	Refining item that upgrades weapons to a maximum of [+4]
IN_011_001	Protection Potion
ID_011_001	Refining item that upgrades armors to a maximum of [+4]
IN_011_002	Man Cha Luo Hua 8
ID_011_002	
IN_011_003	Ancient Cold Iron
ID_011_003	
IN_011_004	Fine Burr
ID_011_004	Refining item that improves upgrades weapons to a maximum of +9.
IN_011_005	Fine Hone
ID_011_005	
IN_011_006	Luxury Protection Potion
ID_011_006	Refining item that improves upgrades armors to a maximum of +9.
IN_011_007	Principal Medicine Kit
ID_011_007	
IN_011_008	Black ManChaLuoHua 8
ID_011_008	
IN_011_009	Rock Powder
ID_011_009	
IN_011_010	Ancient Cold Iron
ID_011_010	
IN_011_011	Fine Iron
ID_011_011	Refining item that endows Fire Resistance to a maximum of +9. Refining further than [+4] may cause the vanishment of the entire item.
IN_011_012	Iron
ID_011_012	Refining item that endows Fire Resistance to a maximum of +4.
IN_011_013	Fine Sodium
ID_011_013	Refining item that endows Thunder Resistance to a maximum of +9. Refining further than [+4] may cause the vanishment of the entire item.
IN_011_014	Fine Crystal
ID_011_014	Refining item that endows Ice Resistance to a maximum of +9. Refining further than [+4] may cause the vanishment of the entire item.
IN_011_015	Fine Silver
ID_011_015	Refining item that endows Poison Resistance to a maximum of +9. Refining further than [+4] may cause the vanishment of the entire item.
IN_011_016	Silver
ID_011_016	Refining item that endows Poison Resistance to a maximum of +4
IN_011_017	Crystal
ID_011_017	Refining item that endows Ice Resistance to a maximum of +4
IN_011_018	Bone Powder
ID_011_018	Refining item that endows Gas Resistance to a maximum of +4
IN_011_019	Opulent Bone Powder
ID_011_019	Refining item that endows Gas Resistance to a maximum of +9. Upgrading failure may cause the vanishment of the item
IN_011_020	Sodium
ID_011_020	Refining item that endows Thunder Resistance to a maximum of +4
IN_011_021	Costume Eraser
ID_011_021	Deletes the costume from the armor. Left click the item and right click on an armor with applied costume to delete such costume.
IN_011_022	Weapon Grindstone [+1 ~ +6]
ID_011_022	Randomly Enhances Weapons from +1 ~ +6.
IN_011_023	Grindstone [Weapon]
ID_011_023	Randomly Enhances Weapons from +1 ~ +10. Upgrade Value is retained upon failure.
IN_011_024	Reinforced Grindstone [Weapon]
ID_011_024	Randomly Enhances Weapons from +1 ~ +10.
IN_011_025	Low Coating Oil [Armor]
ID_011_025	Randomly Enhances Weapons from +1 ~ +10. Upgrade Value may decrease upon enhancement.
IN_011_026	Coating Oil [Armor]
ID_011_026	Randomly Enhances Armors from +1 ~ +10. Upgrade Value is retained upon failure.
IN_011_027	Reinforced Coating Oil [Armor]
ID_011_027	Randomly Enhances Armors from +1 ~ +10.
IN_011_028	Weapon Grindstone [+1 ~ +6]
ID_011_028	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_029	Weapon Grindstone [+2 ~ +6]
ID_011_029	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_030	Weapon Grindstone [+2 ~ +7]
ID_011_030	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_031	Weapon Grindstone [+3 ~ +7]
ID_011_031	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_032	Weapon Grindstone [+3 ~ +8]
ID_011_032	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_033	Weapon Grindstone [+3 ~ +9]
ID_011_033	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_034	Weapon Grindstone [+4 ~ +7]
ID_011_034	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_035	Weapon Grindstone [+4 ~ +8]
ID_011_035	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_036	Weapon Grindstone [+4 ~ +9]
ID_011_036	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_037	Weapon Grindstone [+5 ~ +7]
ID_011_037	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_038	Weapon Grindstone [+5 ~ +8]
ID_011_038	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_039	Weapon Grindstone [+5 ~ +9]
ID_011_039	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_040	Weapon Grindstone [+5 ~ +10]
ID_011_040	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_041	Weapon Grindstone [+6 ~ +9]
ID_011_041	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_042	Weapon Grindstone [+6 ~ +10]
ID_011_042	Values will be assigned randomly within the range set. Left click to select then place it over a weapon to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_043	Perfect Weapon Grindstone [+1]
ID_011_043	Automatically Enhances a Weapon to the Next Upgrade Level up until to the maximum Upgrade Level without any chance of failing.
IN_011_044	Perfect Weapon Grindstone [+1 ~ +2]
ID_011_044	Assigns Upgrade Values randomly within the range set without any chance of failing.
IN_011_045	Perfect Weapon Grindstone [+1 ~ +3]
ID_011_045	Assigns Upgrade Values randomly within the range set without any chance of failing.
IN_011_046	Armor Coating Oil [+1 ~ +6]
ID_011_046	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_047	Armor Coating Oil [+2 ~ +6]
ID_011_047	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_048	Armor Coating Oil [+2 ~ +7]
ID_011_048	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_049	Armor Coating Oil [+3 ~ +7]
ID_011_049	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_050	Armor Coating Oil [+3 ~ +8]
ID_011_050	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_051	Armor Coating Oil [+3 ~ +9]
ID_011_051	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_052	Armor Coating Oil [+4 ~ +7]
ID_011_052	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_053	Armor Coating Oil [+4 ~ +8]
ID_011_053	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_054	Armor Coating Oil [+4 ~ +9]
ID_011_054	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_055	Armor Coating Oil [+5 ~ +7]
ID_011_055	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_056	Armor Coating Oil [+5 ~ +8]
ID_011_056	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_057	Armor Coating Oil [+5 ~ +9]
ID_011_057	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_058	Armor Coating Oil [+5 ~ +10]
ID_011_058	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_059	Armor Coating Oil [+6 ~ +9]
ID_011_059	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_060	Armor Coating Oil [+6 ~ +10]
ID_011_060	Values will be assigned randomly within the range set. Left click to select then place it over an armor to begin upgrading. Note that the upgrade value may decrease upon failure.
IN_011_061	Perfect Armor Coating Oil [+1]
ID_011_061	Automatically Enhances an armor to the Next Upgrade Level up until to the maximum Upgrade Level without any chance of failing.
IN_011_062	Perfect Armor Coating Oil [+1 ~ +2]
ID_011_062	Assigns Upgrade Values randomly within the range set without any chance of failing.
IN_011_063	Perfect Armor Coating Oil [+1 ~ +3]
ID_011_063	Assigns Upgrade Values randomly within the range set without any chance of failing.
IN_011_064	Reinforced Weapon Grindstone [+1 ~ +6]
ID_011_064	Values will be assigned randomly within the range set. An extra option of +1 ~ +10 Offense can be added at random. Note that the extra option may not be added at all. The current upgrade value will be retained upon failure.
IN_011_065	Reinforced Weapon Grindstone [+2 ~ +6]
ID_011_065	Values will be assigned randomly within the range set. An extra option of +1 ~ +10 Offense can be added at random. Note that the extra option may not be added at all. The current upgrade value will be retained upon failure.
IN_011_066	Reinforced Weapon Grindstone [+2 ~ +7]
ID_011_066	Values will be assigned randomly within the range set. An extra option of +1 ~ +10 Offense can be added at random. Note that the extra option may not be added at all. The current upgrade value will be retained upon failure.
IN_011_067	Reinforced Weapon Grindstone [+3 ~ +7]
ID_011_067	Values will be assigned randomly within the range set. An extra option of +1 ~ +10 Offense can be added at random. Note that the extra option may not be added at all. The current upgrade value will be retained upon failure.
IN_011_068	Reinforced Weapon Grindstone [+3 ~ +8]
ID_011_068	Values will be assigned randomly within the range set. An extra option of +1 ~ +10 Offense can be added at random. Note that the extra option may not be added at all. The current upgrade value will be retained upon failure.
IN_011_069	Reinforced Weapon Grindstone [+3 ~ +9]
